IE_XML_ID;IE_NAME;IP_PROP41;IP_PROP59;IP_PROP73;IP_PROP75;IP_PROP76;IP_PROP77;IP_PROP78;CV_PRICE_1;CV_CURRENCY_1;IC_GROUP0;IC_GROUP1;IC_GROUP2
319;Накладка на передний бампер SPORTIVO Alfa romeo 156 (1997 - 2007);13AR2001;Россия;Стеклопластик;Alfa Romeo;Alfa romeo 156;до 7 рабочих дней;;4100.00;RUB;;;
349;Задний бампер GTA Alfa Romeo 147;12AR2001;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 147;до 1 месяца;;19500.00;RUB;;;
351;Передний бампер GTA Alfa Romeo 147;12AR2003;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 147;до 1 месяца;;19500.00;RUB;;;
352;Задний бампер ABT Audi 100 С4/А6 С4;13AU2005;Россия;Стеклопластик;Audi;Audi 100 С4/А6 С4;до 7 рабочих дней;;6400.00;RUB;;;
352;Задний бампер ABT Audi 100 С4/А6 С4;13AU2005;Россия;Стеклопластик;Audi;Audi 100 С4/А6 С4;до 7 рабочих дней;;6400.00;RUB;;;
353;Накладки на пороги GTA Alfa Romeo 147;12AR2002;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 147;до 1 месяца;;13000.00;RUB;;;
354;Накладки на пороги ST Alfa Romeo 147;12AR2004;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 147;до 1 месяца;;13000.00;RUB;;;
355;Накладка на передний бампер ST Alfa Romeo 147;12AR2005;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 147;до 1 месяца;;9000.00;RUB;;;
356;Передний бампер S-LINE Alfa Romeo 145;12AR2006;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 145;до 1 месяца;;19500.00;RUB;;;
357;Задний бампер S-LINE Alfa Romeo 145;12AR2007;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 145;до 1 месяца;;19500.00;RUB;;;
358;Накладки на пороги S-LINE Alfa Romeo 145;12AR2008;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 145;до 1 месяца;;13000.00;RUB;;;
359;Передний бампер S-LINE Alfa Romeo 146;12AR2009;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 146;до 1 месяца;;19500.00;RUB;;;
360;Накладки на пороги S-LINE Alfa Romeo 146;12AR2010;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 146;до 1 месяца;;13000.00;RUB;;;
361;Передний бампер GTA Alfa Romeo 156;12AR2011;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
362;Задний бампер GTA Alfa Romeo 156;12AR2012;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
363;Передний бампер Auto-R Alfa Romeo 156;12AR2013;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
364;Задний бампер Auto-R Alfa Romeo 156;12AR2014;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
365;Задний бампер ST Alfa Romeo 156;12AR2015;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
